County;Year;Population;Primary County Coordinates
Humboldt;2012;9719;(42.7764686, -94.2071868)
Pottawattamie;2012;92906;(41.3366123, -95.5423935)
Poweshiek;2012;18710;(41.6864422, -92.5314684)
Plymouth;2012;24822;(42.7378346, -96.2140431)
Lyon;2012;11757;(43.380497, -96.2102924)
Jasper;2012;36524;(41.6860394, -93.053765)
Butler;2012;14977;(42.7315661, -92.7901934)
Boone;2012;26137;(42.0365493, -93.931671)
Washington;2012;21903;(41.335591, -91.7178676)
Floyd;2012;16097;(43.0599208, -92.7890033)
Van Buren;2012;7449;(40.7532294, -91.9499871)
Chickasaw;2012;12282;(43.0600414, -92.3176637)
Monroe;2012;8073;(41.0297826, -92.8689877)
Mitchell;2012;10711;(43.3564124, -92.7890315)
Mahaska;2012;22393;(41.3352035, -92.6409094)
Sioux;2012;34269;(43.0826174, -96.1778827)
Clinton;2012;48700;(41.8980358, -90.5319724)
Madison;2012;15638;(41.3307142, -94.0155619)
Osceola;2012;6203;(43.3785704, -95.6236852)
Muscatine;2012;42860;(41.4839221, -91.1127562)
Carroll;2012;20651;(42.0362382, -94.8605593)
Pocahontas;2012;7141;(42.7341351, -94.6787466)
Scott;2012;168266;(41.6370978, -90.6232428)
Wayne;2012;6326;(40.7394702, -93.3273639)
Howard;2012;9546;(43.3567673, -92.3171989)
Marion;2012;33266;(41.3344515, -93.0994367)
Lucas;2012;8768;(41.0293738, -93.3277207)
Wright;2012;13021;(42.7331189, -93.7351465)
Emmet;2012;9920;(43.3780225, -94.6784803)
Mills;2012;14873;(41.0334523, -95.6213267)
Story;2012;91730;(42.0362415, -93.4650448)
Harrison;2012;14475;(41.6828528, -95.8169209)
Allamakee;2012;14136;(43.2842838, -91.3780923)
Appanoose;2012;12706;(40.7431635, -92.8686104)
Grundy;2012;12440;(42.4018651, -92.7914177)
Cerro Gordo;2012;43692;(43.0815577, -93.2608184)
Dubuque;2012;95128;(42.468832, -90.8824564)
Black Hawk;2012;131794;(42.4700957, -92.3088197)
Hancock;2012;11179;(43.0818861, -93.7342723)
Franklin;2012;10509;(42.7325458, -93.262473)
Johnson;2012;136783;(41.6715511, -91.5880849)
Taylor;2012;6262;(40.7374324, -94.6964148)
Des Moines;2012;40222;(40.9231829, -91.1814707)
Wapello;2012;35425;(41.0305845, -92.4094499)
Bremer;2012;24491;(42.7745873, -92.3180548)
Jefferson;2012;17215;(41.0317596, -91.9488774)
Louisa;2012;11355;(41.2185073, -91.2596184)
Warren;2012;46883;(41.3343735, -93.5613594)
Marshall;2012;41007;(42.0358499, -92.9987706)
Delaware;2012;17563;(42.471211, -91.3673502)
Benton;2012;25836;(42.0801864, -92.0656912)
Dickinson;2012;16924;(43.3779848, -95.1508301)
Cass;2012;13699;(41.3314876, -94.9278266)
Clay;2012;16540;(43.0825804, -95.1509194)
Jackson;2012;19677;(42.1717426, -90.5742294)
Palo Alto;2012;9275;(43.0820643, -94.6781371)
Audubon;2012;5865;(41.6845893, -94.9058222)
Webster;2012;37313;(42.4279662, -94.1817881)
Hamilton;2011;15462;(42.3837722, -93.7068085)
Jones;2011;20734;(42.1212397, -91.1314352)
Worth;2011;7566;(43.3773984, -93.2608476)
Harrison;2011;14764;(41.6828528, -95.8169209)
Bremer;2011;24376;(42.7745873, -92.3180548)
Calhoun;2011;10062;(42.3851848, -94.6404136)
Scott;2011;166521;(41.6370978, -90.6232428)
Van Buren;2011;7514;(40.7532294, -91.9499871)
Tama;2011;17610;(42.0798117, -92.5325425)
Lucas;2011;8869;(41.0293738, -93.3277207)
Humboldt;2011;9779;(42.7764686, -94.2071868)
Adair;2011;7545;(41.3307464, -94.4709413)
Marshall;2011;40953;(42.0358499, -92.9987706)
Ringgold;2011;5049;(40.7352023, -94.2439719)
Sac;2011;10222;(42.3862604, -95.1053946)
Grundy;2011;12479;(42.4018651, -92.7914177)
Woodbury;2011;102622;(42.3897169, -96.0447673)
Clay;2011;16595;(43.0825804, -95.1509194)
Boone;2011;26286;(42.0365493, -93.931671)
Floyd;2011;16102;(43.0599208, -92.7890033)
Greene;2011;9330;(42.0362394, -94.3968356)
Clayton;2011;18018;(42.8447493, -91.3414328)
Winnebago;2011;10683;(43.3775678, -93.7341955)
Audubon;2011;6003;(41.6845893, -94.9058222)
Pottawattamie;2011;93471;(41.3366123, -95.5423935)
O'Brien;2011;14218;(43.0837527, -95.6248784)
Plymouth;2011;24808;(42.7378346, -96.2140431)
Mills;2011;15028;(41.0334523, -95.6213267)
Delaware;2011;17624;(42.471211, -91.3673502)
Jasper;2011;36613;(41.6860394, -93.053765)
Washington;2011;21819;(41.335591, -91.7178676)
Muscatine;2011;42771;(41.4839221, -91.1127562)
Polk;2011;438137;(41.6855048, -93.5735335)
Dallas;2011;69605;(41.6848862, -94.0397374)
Pocahontas;2011;7202;(42.7341351, -94.6787466)
Warren;2011;46628;(41.3343735, -93.5613594)
Benton;2011;26079;(42.0801864, -92.0656912)
Cerro Gordo;2011;43960;(43.0815577, -93.2608184)
Iowa;2011;16319;(41.6863229, -92.065524)
Hancock;2011;11294;(43.0818861, -93.7342723)
Cass;2011;13764;(41.3314876, -94.9278266)
Monroe;2011;8059;(41.0297826, -92.8689877)
Shelby;2011;11986;(41.6850926, -95.3102113)
Butler;2011;14969;(42.7315661, -92.7901934)
Fremont;2011;7374;(40.7455892, -95.6046765)
Decatur;2011;8245;(40.7376827, -93.7862815)
Guthrie;2011;10857;(41.6837548, -94.501055)
Appanoose;2011;12846;(40.7431635, -92.8686104)
Johnson;2011;133674;(41.6715511, -91.5880849)
Jackson;2011;19725;(42.1717426, -90.5742294)
Fayette;2011;20959;(42.8625919, -91.8443207)
Hardin;2011;17372;(42.3838803, -93.2404025)
Taylor;2011;6303;(40.7374324, -94.6964148)
Page;2011;15883;(40.7391444, -95.1501747)
Franklin;2011;10691;(42.7325458, -93.262473)
Sioux;2011;33984;(43.0826174, -96.1778827)
Ida;2011;7044;(42.3868747, -95.5134962)
Clarke;2011;9317;(41.0290323, -93.7851579)
Des Moines;2011;40057;(40.9231829, -91.1814707)
Allamakee;2011;14208;(43.2842838, -91.3780923)
Howard;2011;9543;(43.3567673, -92.3171989)
Keokuk;2011;10397;(41.336465, -92.1786426)
Clinton;2011;49086;(41.8980358, -90.5319724)
Carroll;2011;20853;(42.0362382, -94.8605593)
Wapello;2011;35463;(41.0305845, -92.4094499)
Cherokee;2011;12028;(42.7356226, -95.6238055)
Winneshiek;2011;21043;(43.2906746, -91.8437074)
Adams;2011;3994;(41.0289839, -94.6991849)
Mahaska;2011;22490;(41.3352035, -92.6409094)
Linn;2011;213983;(42.0789478, -91.5989646)
Mitchell;2011;10702;(43.3564124, -92.7890315)
Montgomery;2011;10630;(41.03014, -95.1563758)
Crawford;2011;17224;(42.0372125, -95.3819678)
Chickasaw;2011;12400;(43.0600414, -92.3176637)
Palo Alto;2011;9349;(43.0820643, -94.6781371)
Kossuth;2011;15392;(43.20413, -94.2067199)
Buena Vista;2011;20282;(42.7354936, -95.151149)
Black Hawk;2011;131470;(42.4700957, -92.3088197)
Union;2011;12549;(41.0277304, -94.2423792)
Buchanan;2011;20911;(42.4707777, -91.8378392)
Webster;2011;37728;(42.4279662, -94.1817881)
Cedar;2011;18402;(41.7723207, -91.1324125)
Henry;2011;20233;(40.9879383, -91.5445241)
Story;2011;90797;(42.0362415, -93.4650448)
Davis;2011;8770;(40.7476891, -92.4097173)
Marion;2011;33262;(41.3344515, -93.0994367)
Wright;2011;13030;(42.7331189, -93.7351465)
Dubuque;2011;94599;(42.468832, -90.8824564)
Osceola;2011;6313;(43.3785704, -95.6236852)
Lee;2011;35554;(40.6419764, -91.479264)
Monona;2011;9235;(42.0516663, -95.9599235)
Emmet;2011;10063;(43.3780225, -94.6784803)
Dickinson;2011;16857;(43.3779848, -95.1508301)
Poweshiek;2011;18874;(41.6864422, -92.5314684)
Louisa;2011;11374;(41.2185073, -91.2596184)
Lyon;2011;11691;(43.380497, -96.2102924)
Wayne;2011;6334;(40.7394702, -93.3273639)
Jefferson;2011;17014;(41.0317596, -91.9488774)
Madison;2011;15734;(41.3307142, -94.0155619)
Warren;2010;46225;(41.334, -93.561)
Webster;2010;38013;(42.428, -94.182)
Marion;2010;33309;(41.334, -93.099)
Madison;2010;15679;(41.331, -94.016)
Louisa;2010;11387;(41.219, -91.26)
Lee;2010;35862;(40.642, -91.479)
Osceola;2010;6462;(43.379, -95.624)
Muscatine;2010;42745;(41.484, -91.113)
Dickinson;2010;16667;(43.378, -95.151)
Pottawattamie;2010;93158;(41.337, -95.542)
Humboldt;2010;9815;(42.776, -94.207)
Linn;2010;211226;(42.079, -91.599)
Mitchell;2010;10776;(43.356, -92.789)
Benton;2010;26076;(42.08, -92.066)
Adair;2010;7682;(41.331, -94.471)
Ida;2010;7089;(42.387, -95.513)
Buchanan;2010;20958;(42.471, -91.838)
Palo Alto;2010;9421;(43.082, -94.678)
Howard;2010;9566;(43.357, -92.317)
Wayne;2010;6403;(40.739, -93.327)
Calhoun;2010;9670;(42.385, -94.64)
Buena Vista;2010;20260;(42.735, -95.151)
Scott;2010;165224;(41.637, -90.623)
Taylor;2010;6317;(40.737, -94.696)
Davis;2010;8753;(40.748, -92.41)
Sac;2010;10350;(42.386, -95.105)
Polk;2010;430640;(41.686, -93.574)
Winneshiek;2010;21056;(43.291, -91.844)
Plymouth;2010;24986;(42.738, -96.214)
Mills;2010;15059;(41.033, -95.621)
Mahaska;2010;22381;(41.335, -92.641)
Monona;2010;9243;(42.052, -95.96)
Wapello;2010;35625;(41.031, -92.409)
Guthrie;2010;10954;(41.684, -94.501)
Crawford;2010;17096;(42.037, -95.382)
Hardin;2010;17534;(42.384, -93.24)
Union;2010;12534;(41.028, -94.242)
Chickasaw;2010;12439;(43.06, -92.318)
Sioux;2010;33704;(43.083, -96.178)
Greene;2010;9336;(42.036, -94.397)
Shelby;2010;12167;(41.685, -95.31)
Bremer;2010;24276;(42.775, -92.318)
Carroll;2010;20816;(42.036, -94.861)
Ringgold;2010;5131;(40.735, -94.244)
Woodbury;2010;102172;(42.39, -96.045)
Page;2010;15932;(40.739, -95.15)
Clinton;2010;49116;(41.898, -90.532)
Van Buren;2010;7570;(40.753, -91.95)
Poweshiek;2010;18914;(41.686, -92.531)
Jones;2010;20638;(42.121, -91.131)
Audubon;2010;6119;(41.685, -94.906)
Cerro Gordo;2010;44151;(43.082, -93.261)
Harrison;2010;14928;(41.683, -95.817)
Johnson;2010;130882;(41.672, -91.588)
Dallas;2010;66135;(41.685, -94.04)
Hancock;2010;11341;(43.082, -93.734)
Hamilton;2010;15673;(42.384, -93.707)
Kossuth;2010;15543;(43.204, -94.207)
Jackson;2010;19848;(42.172, -90.574)
Tama;2010;17767;(42.08, -92.533)
Monroe;2010;7970;(41.03, -92.869)
Butler;2010;14867;(42.732, -92.79)
Fremont;2010;7441;(40.746, -95.605)
Cherokee;2010;12072;(42.736, -95.624)
Floyd;2010;16303;(43.06, -92.789)
Keokuk;2010;10511;(41.336, -92.179)
Jefferson;2010;16843;(41.032, -91.949)
Worth;2010;7598;(43.377, -93.261)
Story;2010;89542;(42.036, -93.465)
Fayette;2010;20880;(42.863, -91.844)
Clay;2010;16667;(43.083, -95.151)
Marshall;2010;40648;(42.036, -92.999)
Emmet;2010;10302;(43.378, -94.678)
Boone;2010;26306;(42.037, -93.932)
Pocahontas;2010;7310;(42.734, -94.679)
Decatur;2010;8457;(40.738, -93.786)
O'Brien;2010;14398;(43.084, -95.625)
Wright;2010;13229;(42.733, -93.735)
Clarke;2010;9286;(41.029, -93.785)
Franklin;2010;10680;(42.733, -93.262)
Grundy;2010;12453;(42.402, -92.791)
Delaware;2010;17764;(42.471, -91.367)
Black Hawk;2010;131090;(42.47, -92.309)
Lucas;2010;8898;(41.029, -93.328)
Allamakee;2010;14330;(43.284, -91.378)
Dubuque;2010;93653;(42.469, -90.882)
Winnebago;2010;10866;(43.378, -93.734)
Adams;2010;4029;(41.029, -94.699)
Washington;2010;21704;(41.336, -91.718)
Jasper;2010;36842;(41.686, -93.054)
Cass;2010;13956;(41.331, -94.928)
Iowa;2010;16355;(41.686, -92.066)
Montgomery;2010;10740;(41.03, -95.156)
Lyon;2010;11581;(43.38, -96.21)
Clayton;2010;18129;(42.845, -91.341)
Cedar;2010;18499;(41.772, -91.132)
Des Moines;2010;40325;(40.923, -91.181)
Henry;2010;20145;(40.988, -91.545)
Appanoose;2010;12887;(40.743, -92.869)
Shelby;2009;11957;(41.685, -95.31)
Cherokee;2009;11409;(42.736, -95.624)
Winnebago;2009;10602;(43.378, -93.734)
Calhoun;2009;9671;(42.385, -94.64)
Scott;2009;166650;(41.637, -90.623)
Van Buren;2009;7679;(40.753, -91.95)
Madison;2009;15409;(41.331, -94.016)
Sac;2009;10059;(42.386, -95.105)
Mitchell;2009;10781;(43.356, -92.789)
Delaware;2009;17205;(42.471, -91.367)
Clinton;2009;48934;(41.898, -90.532)
Franklin;2009;10540;(42.733, -93.262)
Ringgold;2009;4944;(40.735, -94.244)
Emmet;2009;10241;(43.378, -94.678)
Wapello;2009;35334;(41.031, -92.409)
Monroe;2009;7549;(41.03, -92.869)
Lyon;2009;11172;(43.38, -96.21)
Poweshiek;2009;18423;(41.686, -92.531)
Winneshiek;2009;20629;(43.291, -91.844)
Lee;2009;35447;(40.642, -91.479)
Monona;2009;8882;(42.052, -95.96)
Lucas;2009;9179;(41.029, -93.328)
Pottawattamie;2009;90224;(41.337, -95.542)
Polk;2009;429439;(41.686, -93.574)
Linn;2009;209226;(42.079, -91.599)
Adair;2009;7350;(41.331, -94.471)
Warren;2009;45275;(41.334, -93.561)
Greene;2009;9251;(42.036, -94.397)
Pocahontas;2009;7346;(42.734, -94.679)
Plymouth;2009;24210;(42.738, -96.214)
Grundy;2009;12177;(42.402, -92.791)
Palo Alto;2009;9279;(43.082, -94.678)
Guthrie;2009;10833;(41.684, -94.501)
Carroll;2009;20674;(42.036, -94.861)
Page;2009;15260;(40.739, -95.15)
Hamilton;2009;15238;(42.384, -93.707)
Audubon;2009;6032;(41.685, -94.906)
Cass;2009;13758;(41.331, -94.928)
Hancock;2009;11046;(43.082, -93.734)
Hardin;2009;17144;(42.384, -93.24)
Osceola;2009;6344;(43.379, -95.624)
Chickasaw;2009;12017;(43.06, -92.318)
Harrison;2009;15328;(41.683, -95.817)
Henry;2009;19929;(40.988, -91.545)
Fremont;2009;7345;(40.746, -95.605)
Howard;2009;9410;(43.357, -92.317)
Humboldt;2009;9473;(42.776, -94.207)
O'Brien;2009;13928;(43.084, -95.625)
Butler;2009;14341;(42.732, -92.79)
Ida;2009;6762;(42.387, -95.513)
Iowa;2009;15811;(41.686, -92.066)
Jackson;2009;19728;(42.172, -90.574)
Boone;2009;26072;(42.037, -93.932)
Jasper;2009;36257;(41.686, -93.054)
Black Hawk;2009;129276;(42.47, -92.309)
Davis;2009;8562;(40.748, -92.41)
Jefferson;2009;15472;(41.032, -91.949)
Cedar;2009;18006;(41.772, -91.132)
Floyd;2009;15910;(43.06, -92.789)
Johnson;2009;131005;(41.672, -91.588)
Muscatine;2009;42934;(41.484, -91.113)
Clay;2009;16617;(43.083, -95.151)
Jones;2009;20364;(42.121, -91.131)
Keokuk;2009;10562;(41.336, -92.179)
Montgomery;2009;10796;(41.03, -95.156)
Washington;2009;21258;(41.336, -91.718)
Dallas;2009;61950;(41.685, -94.04)
Louisa;2009;11245;(41.219, -91.26)
Marshall;2009;39259;(42.036, -92.999)
Decatur;2009;8231;(40.738, -93.786)
Dickinson;2009;16623;(43.378, -95.151)
Dubuque;2009;93072;(42.469, -90.882)
Tama;2009;17377;(42.08, -92.533)
Buchanan;2009;20910;(42.471, -91.838)
Marion;2009;32682;(41.334, -93.099)
Kossuth;2009;15154;(43.204, -94.207)
Taylor;2009;6344;(40.737, -94.696)
Worth;2009;7541;(43.377, -93.261)
Des Moines;2009;41058;(40.923, -91.181)
Bremer;2009;23460;(42.775, -92.318)
Clayton;2009;17463;(42.845, -91.341)
Fayette;2009;20164;(42.863, -91.844)
Wright;2009;12716;(42.733, -93.735)
Mahaska;2009;22000;(41.335, -92.641)
Union;2009;12241;(41.028, -94.242)
Allamakee;2009;14407;(43.284, -91.378)
Benton;2009;26734;(42.08, -92.066)
Appanoose;2009;12698;(40.743, -92.869)
Crawford;2009;16416;(42.037, -95.382)
Mills;2009;15002;(41.033, -95.621)
Woodbury;2009;102831;(42.39, -96.045)
Clarke;2009;9086;(41.029, -93.785)
Story;2009;87214;(42.036, -93.465)
Wayne;2009;6283;(40.739, -93.327)
Webster;2009;38346;(42.428, -94.182)
Buena Vista;2009;19601;(42.735, -95.151)
Sioux;2009;32244;(43.083, -96.178)
Cerro Gordo;2009;43609;(43.082, -93.261)
Adams;2009;3930;(41.029, -94.699)
Woodbury;2008;101971;(42.39, -96.045)
Worth;2008;7605;(43.377, -93.261)
Wright;2008;12878;(42.733, -93.735)
Adair;2008;7445;(41.331, -94.471)
Clinton;2008;49062;(41.898, -90.532)
Dallas;2008;59977;(41.685, -94.04)
Carroll;2008;20679;(42.036, -94.861)
Fayette;2008;20238;(42.863, -91.844)
Appanoose;2008;12780;(40.743, -92.869)
Dubuque;2008;92589;(42.469, -90.882)
Delaware;2008;17335;(42.471, -91.367)
Clay;2008;16617;(43.083, -95.151)
Cass;2008;13812;(41.331, -94.928)
Bremer;2008;23509;(42.775, -92.318)
Audubon;2008;6105;(41.685, -94.906)
Clayton;2008;17555;(42.845, -91.341)
Cerro Gordo;2008;43740;(43.082, -93.261)
Buena Vista;2008;19491;(42.735, -95.151)
Adams;2008;4032;(41.029, -94.699)
Cedar;2008;18047;(41.772, -91.132)
Allamakee;2008;14416;(43.284, -91.378)
Fremont;2008;7422;(40.746, -95.605)
Calhoun;2008;9851;(42.385, -94.64)
Clarke;2008;9085;(41.029, -93.785)
Floyd;2008;16031;(43.06, -92.789)
Black Hawk;2008;128040;(42.47, -92.309)
Boone;2008;26186;(42.037, -93.932)
Des Moines;2008;40803;(40.923, -91.181)
Davis;2008;8573;(40.748, -92.41)
Cherokee;2008;11501;(42.736, -95.624)
Franklin;2008;10567;(42.733, -93.262)
Crawford;2008;16399;(42.037, -95.382)
Emmet;2008;10364;(43.378, -94.678)
Dickinson;2008;16644;(43.378, -95.151)
Buchanan;2008;21033;(42.471, -91.838)
Decatur;2008;8201;(40.738, -93.786)
Greene;2008;9349;(42.036, -94.397)
Benton;2008;26642;(42.08, -92.066)
Butler;2008;14595;(42.732, -92.79)
Chickasaw;2008;12071;(43.06, -92.318)
Grundy;2008;12110;(42.402, -92.791)
Guthrie;2008;10984;(41.684, -94.501)
Hamilton;2008;15352;(42.384, -93.707)
Hancock;2008;11229;(43.082, -93.734)
Hardin;2008;17377;(42.384, -93.24)
Harrison;2008;15245;(41.683, -95.817)
Henry;2008;20067;(40.988, -91.545)
Howard;2008;9436;(43.357, -92.317)
Humboldt;2008;9565;(42.776, -94.207)
Ida;2008;6922;(42.387, -95.513)
Iowa;2008;15750;(41.686, -92.066)
Jackson;2008;19804;(42.172, -90.574)
Jasper;2008;36460;(41.686, -93.054)
Jefferson;2008;15431;(41.032, -91.949)
Johnson;2008;128145;(41.672, -91.588)
Jones;2008;20430;(42.121, -91.131)
Keokuk;2008;10655;(41.336, -92.179)
Kossuth;2008;15245;(43.204, -94.207)
Lee;2008;35484;(40.642, -91.479)
Linn;2008;207839;(42.079, -91.599)
Louisa;2008;11694;(41.219, -91.26)
Lucas;2008;9337;(41.029, -93.328)
Lyon;2008;11189;(43.38, -96.21)
Madison;2008;15454;(41.331, -94.016)
Mahaska;2008;22120;(41.335, -92.641)
Marion;2008;32774;(41.334, -93.099)
Marshall;2008;39236;(42.036, -92.999)
Mills;2008;15127;(41.033, -95.621)
Mitchell;2008;10794;(43.356, -92.789)
Monona;2008;9019;(42.052, -95.96)
Monroe;2008;7573;(41.03, -92.869)
Montgomery;2008;10792;(41.03, -95.156)
Muscatine;2008;42670;(41.484, -91.113)
O'Brien;2008;13898;(43.084, -95.625)
Osceola;2008;6448;(43.379, -95.624)
Page;2008;15527;(40.739, -95.15)
Palo Alto;2008;9318;(43.082, -94.678)
Plymouth;2008;24262;(42.738, -96.214)
Pocahontas;2008;7479;(42.734, -94.679)
Polk;2008;422893;(41.686, -93.574)
Pottawattamie;2008;89986;(41.337, -95.542)
Poweshiek;2008;18493;(41.686, -92.531)
Ringgold;2008;5013;(40.735, -94.244)
Sac;2008;10199;(42.386, -95.105)
Scott;2008;164437;(41.637, -90.623)
Shelby;2008;12129;(41.685, -95.31)
Sioux;2008;32064;(43.083, -96.178)
Story;2008;86219;(42.036, -93.465)
Tama;2008;17549;(42.08, -92.533)
Taylor;2008;6337;(40.737, -94.696)
Union;2008;12154;(41.028, -94.242)
Van Buren;2008;7690;(40.753, -91.95)
Wapello;2008;35297;(41.031, -92.409)
Warren;2008;44793;(41.334, -93.561)
Washington;2008;21214;(41.336, -91.718)
Wayne;2008;6267;(40.739, -93.327)
Webster;2008;38372;(42.428, -94.182)
Winnebago;2008;10689;(43.378, -93.734)
Winneshiek;2008;20711;(43.291, -91.844)
Clay;2007;16629;(43.083, -95.151)
Lucas;2007;9457;(41.029, -93.328)
Buena Vista;2007;19455;(42.735, -95.151)
Washington;2007;21152;(41.336, -91.718)
Ida;2007;6980;(42.387, -95.513)
Union;2007;12051;(41.028, -94.242)
Grundy;2007;12085;(42.402, -92.791)
Linn;2007;205283;(42.079, -91.599)
Ringgold;2007;5061;(40.735, -94.244)
Delaware;2007;17506;(42.471, -91.367)
Dubuque;2007;92254;(42.469, -90.882)
Warren;2007;44292;(41.334, -93.561)
Hardin;2007;17505;(42.384, -93.24)
Iowa;2007;15794;(41.686, -92.066)
Adair;2007;7584;(41.331, -94.471)
Boone;2007;26297;(42.037, -93.932)
Poweshiek;2007;18662;(41.686, -92.531)
Decatur;2007;8342;(40.738, -93.786)
Fremont;2007;7569;(40.746, -95.605)
Butler;2007;14626;(42.732, -92.79)
Pottawattamie;2007;89572;(41.337, -95.542)
Taylor;2007;6425;(40.737, -94.696)
Winneshiek;2007;20824;(43.291, -91.844)
Jackson;2007;19906;(42.172, -90.574)
Hamilton;2007;15538;(42.384, -93.707)
Allamakee;2007;14421;(43.284, -91.378)
Calhoun;2007;9951;(42.385, -94.64)
Buchanan;2007;20975;(42.471, -91.838)
Harrison;2007;15416;(41.683, -95.817)
Marion;2007;32654;(41.334, -93.099)
Polk;2007;416276;(41.686, -93.574)
Winnebago;2007;10772;(43.378, -93.734)
Wright;2007;13039;(42.733, -93.735)
Jasper;2007;36567;(41.686, -93.054)
Tama;2007;17670;(42.08, -92.533)
Woodbury;2007;101382;(42.39, -96.045)
Pocahontas;2007;7614;(42.734, -94.679)
Cerro Gordo;2007;43915;(43.082, -93.261)
Dickinson;2007;16586;(43.378, -95.151)
Lyon;2007;11228;(43.38, -96.21)
Story;2007;85232;(42.036, -93.465)
Plymouth;2007;24303;(42.738, -96.214)
Wayne;2007;6283;(40.739, -93.327)
Jefferson;2007;15532;(41.032, -91.949)
Henry;2007;20134;(40.988, -91.545)
Chickasaw;2007;12174;(43.06, -92.318)
Wapello;2007;35344;(41.031, -92.409)
Palo Alto;2007;9420;(43.082, -94.678)
Clarke;2007;9017;(41.029, -93.785)
Marshall;2007;39075;(42.036, -92.999)
Mahaska;2007;22092;(41.335, -92.641)
Sioux;2007;32017;(43.083, -96.178)
Page;2007;15913;(40.739, -95.15)
Johnson;2007;125536;(41.672, -91.588)
Black Hawk;2007;126737;(42.47, -92.309)
Davis;2007;8575;(40.748, -92.41)
Cass;2007;13870;(41.331, -94.928)
Dallas;2007;57278;(41.685, -94.04)
Osceola;2007;6444;(43.379, -95.624)
Guthrie;2007;11051;(41.684, -94.501)
Cedar;2007;17950;(41.772, -91.132)
Carroll;2007;20788;(42.036, -94.861)
O'Brien;2007;14036;(43.084, -95.625)
Jones;2007;20403;(42.121, -91.131)
Shelby;2007;12289;(41.685, -95.31)
Cherokee;2007;11684;(42.736, -95.624)
Howard;2007;9465;(43.357, -92.317)
Madison;2007;15343;(41.331, -94.016)
Muscatine;2007;42456;(41.484, -91.113)
Des Moines;2007;40634;(40.923, -91.181)
Greene;2007;9497;(42.036, -94.397)
Clayton;2007;17686;(42.845, -91.341)
Worth;2007;7623;(43.377, -93.261)
Keokuk;2007;10724;(41.336, -92.179)
Fayette;2007;20379;(42.863, -91.844)
Scott;2007;162339;(41.637, -90.623)
Montgomery;2007;10939;(41.03, -95.156)
Emmet;2007;10341;(43.378, -94.678)
Mills;2007;15147;(41.033, -95.621)
Appanoose;2007;12926;(40.743, -92.869)
Bremer;2007;23633;(42.775, -92.318)
Floyd;2007;16224;(43.06, -92.789)
Benton;2007;26551;(42.08, -92.066)
Kossuth;2007;15456;(43.204, -94.207)
Hancock;2007;11310;(43.082, -93.734)
Humboldt;2007;9626;(42.776, -94.207)
Monroe;2007;7569;(41.03, -92.869)
Louisa;2007;11768;(41.219, -91.26)
Franklin;2007;10623;(42.733, -93.262)
Adams;2007;4099;(41.029, -94.699)
Audubon;2007;6132;(41.685, -94.906)
Crawford;2007;16503;(42.037, -95.382)
Van Buren;2007;7676;(40.753, -91.95)
Lee;2007;35823;(40.642, -91.479)
Sac;2007;10294;(42.386, -95.105)
Clinton;2007;49084;(41.898, -90.532)
Monona;2007;9123;(42.052, -95.96)
Webster;2007;38448;(42.428, -94.182)
Mitchell;2007;10786;(43.356, -92.789)
Mitchell;2006;10807;(43.356, -92.789)
Des Moines;2006;40453;(40.923, -91.181)
Appanoose;2006;13158;(40.743, -92.869)
Linn;2006;202314;(42.079, -91.599)
Fremont;2006;7549;(40.746, -95.605)
Mills;2006;15139;(41.033, -95.621)
Buena Vista;2006;19604;(42.735, -95.151)
Dubuque;2006;91390;(42.469, -90.882)
Wayne;2006;6391;(40.739, -93.327)
Louisa;2006;11802;(41.219, -91.26)
Marshall;2006;38877;(42.036, -92.999)
Hamilton;2006;15734;(42.384, -93.707)
Clinton;2006;49264;(41.898, -90.532)
Black Hawk;2006;126556;(42.47, -92.309)
Lucas;2006;9489;(41.029, -93.328)
Marion;2006;32830;(41.334, -93.099)
Wapello;2006;35673;(41.031, -92.409)
Lyon;2006;11332;(43.38, -96.21)
Mahaska;2006;22039;(41.335, -92.641)
Madison;2006;15196;(41.331, -94.016)
Franklin;2006;10574;(42.733, -93.262)
Van Buren;2006;7640;(40.753, -91.95)
Hancock;2006;11482;(43.082, -93.734)
Union;2006;11990;(41.028, -94.242)
Winneshiek;2006;20784;(43.291, -91.844)
Allamakee;2006;14442;(43.284, -91.378)
Hardin;2006;17637;(42.384, -93.24)
Taylor;2006;6541;(40.737, -94.696)
Chickasaw;2006;12268;(43.06, -92.318)
Tama;2006;17800;(42.08, -92.533)
Harrison;2006;15542;(41.683, -95.817)
Adams;2006;4141;(41.029, -94.699)
Bremer;2006;23531;(42.775, -92.318)
Story;2006;83476;(42.036, -93.465)
Decatur;2006;8372;(40.738, -93.786)
Henry;2006;20095;(40.988, -91.545)
Davis;2006;8530;(40.748, -92.41)
Sioux;2006;32114;(43.083, -96.178)
Shelby;2006;12305;(41.685, -95.31)
Delaware;2006;17560;(42.471, -91.367)
Howard;2006;9510;(43.357, -92.317)
Carroll;2006;20766;(42.036, -94.861)
Scott;2006;161473;(41.637, -90.623)
Cedar;2006;18000;(41.772, -91.132)
Clay;2006;16732;(43.083, -95.151)
Humboldt;2006;9762;(42.776, -94.207)
Cerro Gordo;2006;44048;(43.082, -93.261)
Sac;2006;10473;(42.386, -95.105)
Fayette;2006;20701;(42.863, -91.844)
Warren;2006;43677;(41.334, -93.561)
Ida;2006;7021;(42.387, -95.513)
