County;Year;Population;Primary County Coordinates
Carroll;2016;20366;(42.0362382, -94.8605593)
Taylor;2016;6237;(40.7374324, -94.6964148)
Jones;2016;20384;(42.1212397, -91.1314352)
Plymouth;2016;25205;(42.7378346, -96.2140431)
Cedar;2016;18407;(41.7723207, -91.1324125)
Pottawattamie;2016;93508;(41.3366123, -95.5423935)
Adams;2016;3716;(41.0289839, -94.6991849)
Clay;2016;16325;(43.0825804, -95.1509194)
Crawford;2016;17036;(42.0372125, -95.3819678)
Osceola;2016;6084;(43.3785704, -95.6236852)
Scott;2016;172045;(41.6370978, -90.6232428)
Howard;2016;9272;(43.3567673, -92.3171989)
Adair;2016;7010;(41.3307464, -94.4709413)
Mitchell;2016;10657;(43.3564124, -92.7890315)
Butler;2016;14687;(42.7315661, -92.7901934)
Louisa;2016;11188;(41.2185073, -91.2596184)
Ida;2016;6957;(42.3868747, -95.5134962)
Hamilton;2016;15100;(42.3837722, -93.7068085)
Story;2016;96816;(42.0362415, -93.4650448)
Emmet;2016;9558;(43.3780225, -94.6784803)
Ringgold;2016;4989;(40.7352023, -94.2439719)
Winnebago;2016;10601;(43.3775678, -93.7341955)
Lucas;2016;8556;(41.0293738, -93.3277207)
Polk;2016;474768;(41.6855048, -93.5735335)
Muscatine;2016;42904;(41.4839221, -91.1127562)
Decatur;2016;8045;(40.7376827, -93.7862815)
Lyon;2016;11788;(43.380497, -96.2102924)
Harrison;2016;14072;(41.6828528, -95.8169209)
Mills;2016;15044;(41.0334523, -95.6213267)
Humboldt;2016;9531;(42.7764686, -94.2071868)
Marshall;2016;40160;(42.0358499, -92.9987706)
Appanoose;2016;12497;(40.7431635, -92.8686104)
Black Hawk;2016;132813;(42.4700957, -92.3088197)
Madison;2016;15794;(41.3307142, -94.0155619)
Benton;2016;25641;(42.0801864, -92.0656912)
Kossuth;2016;15133;(43.20413, -94.2067199)
Washington;2016;22109;(41.335591, -91.7178676)
Keokuk;2016;10177;(41.336465, -92.1786426)
Webster;2016;36752;(42.4279662, -94.1817881)
Boone;2016;26419;(42.0365493, -93.931671)
Guthrie;2016;10650;(41.6837548, -94.501055)
Jasper;2016;36661;(41.6860394, -93.053765)
Iowa;2016;16184;(41.6863229, -92.065524)
Van Buren;2016;7255;(40.7532294, -91.9499871)
Page;2016;15335;(40.7391444, -95.1501747)
Woodbury;2016;102707;(42.3897169, -96.0447673)
Franklin;2016;10200;(42.7325458, -93.262473)
Pocahontas;2016;6848;(42.7341351, -94.6787466)
Sac;2016;9818;(42.3862604, -95.1053946)
Palo Alto;2016;9042;(43.0820643, -94.6781371)
Calhoun;2016;9799;(42.3851848, -94.6404136)
Davis;2016;8901;(40.7476891, -92.4097173)
Allamakee;2016;13869;(43.2842838, -91.3780923)
Marion;2016;33149;(41.3344515, -93.0994367)
Henry;2016;19801;(40.9879383, -91.5445241)
Audubon;2016;5635;(41.6845893, -94.9058222)
Dubuque;2016;96704;(42.468832, -90.8824564)
Hancock;2016;10893;(43.0818861, -93.7342723)
Chickasaw;2016;12063;(43.0600414, -92.3176637)
Dallas;2016;84185;(41.6848862, -94.0397374)
Jefferson;2016;18172;(41.0317596, -91.9488774)
Dickinson;2016;17104;(43.3779848, -95.1508301)
Shelby;2016;11672;(41.6850926, -95.3102113)
Cerro Gordo;2016;43064;(43.0815577, -93.2608184)
Monroe;2016;7853;(41.0297826, -92.8689877)
Montgomery;2016;10134;(41.03014, -95.1563758)
Cass;2016;13180;(41.3314876, -94.9278266)
Bremer;2016;24784;(42.7745873, -92.3180548)
Wayne;2016;6437;(40.7394702, -93.3273639)
Sioux;2016;34891;(43.0826174, -96.1778827)
Worth;2016;7475;(43.3773984, -93.2608476)
Fayette;2016;19986;(42.8625919, -91.8443207)
Winneshiek;2016;20409;(43.2906746, -91.8437074)
Jackson;2016;19390;(42.1717426, -90.5742294)
Buena Vista;2016;20268;(42.7354936, -95.151149)
Buchanan;2016;21034;(42.4707777, -91.8378392)
Clayton;2016;17647;(42.8447493, -91.3414328)
Greene;2016;9009;(42.0362394, -94.3968356)
Wapello;2016;35270;(41.0305845, -92.4094499)
Hardin;2016;17193;(42.3838803, -93.2404025)
Warren;2016;49343;(41.3343735, -93.5613594)
Clarke;2016;9286;(41.0290323, -93.7851579)
Monona;2016;8799;(42.0516663, -95.9599235)
Clinton;2016;47236;(41.8980358, -90.5319724)
Lee;2016;34456;(40.6419764, -91.479264)
Poweshiek;2016;18292;(41.6864422, -92.5314684)
Wright;2016;12816;(42.7331189, -93.7351465)
Des Moines;2016;39625;(40.9231829, -91.1814707)
Linn;2016;221900;(42.0789478, -91.5989646)
Mahaska;2016;22206;(41.3352035, -92.6409094)
Floyd;2016;15835;(43.0599208, -92.7890033)
Buena Vista;2015;20302;(42.7354936, -95.151149)
Boone;2015;26439;(42.0365493, -93.931671)
Polk;2015;467252;(41.6855048, -93.5735335)
Ringgold;2015;4974;(40.7352023, -94.2439719)
Worth;2015;7507;(43.3773984, -93.2608476)
Plymouth;2015;24898;(42.7378346, -96.2140431)
Franklin;2015;10326;(42.7325458, -93.262473)
Howard;2015;9315;(43.3567673, -92.3171989)
Hancock;2015;11023;(43.0818861, -93.7342723)
Muscatine;2015;42964;(41.4839221, -91.1127562)
Wayne;2015;6355;(40.7394702, -93.3273639)
Monona;2015;8863;(42.0516663, -95.9599235)
Jones;2015;20402;(42.1212397, -91.1314352)
Carroll;2015;20420;(42.0362382, -94.8605593)
Buchanan;2015;21109;(42.4707777, -91.8378392)
Marion;2015;33109;(41.3344515, -93.0994367)
Cherokee;2015;11485;(42.7356226, -95.6238055)
Pocahontas;2015;6962;(42.7341351, -94.6787466)
Monroe;2015;7925;(41.0297826, -92.8689877)
Palo Alto;2015;9138;(43.0820643, -94.6781371)
Clayton;2015;17715;(42.8447493, -91.3414328)
Clarke;2015;9227;(41.0290323, -93.7851579)
Hamilton;2015;15232;(42.3837722, -93.7068085)
Audubon;2015;5712;(41.6845893, -94.9058222)
Butler;2015;14880;(42.7315661, -92.7901934)
Appanoose;2015;12570;(40.7431635, -92.8686104)
O'Brien;2015;13919;(43.0837527, -95.6248784)
Hardin;2015;17252;(42.3838803, -93.2404025)
Taylor;2015;6263;(40.7374324, -94.6964148)
Kossuth;2015;15153;(43.20413, -94.2067199)
Calhoun;2015;9790;(42.3851848, -94.6404136)
Bremer;2015;24761;(42.7745873, -92.3180548)
Iowa;2015;16275;(41.6863229, -92.065524)
Sac;2015;9966;(42.3862604, -95.1053946)
Webster;2015;37015;(42.4279662, -94.1817881)
Adams;2015;3753;(41.0289839, -94.6991849)
Harrison;2015;14144;(41.6828528, -95.8169209)
Davis;2015;8777;(40.7476891, -92.4097173)
Wapello;2015;35433;(41.0305845, -92.4094499)
Chickasaw;2015;12123;(43.0600414, -92.3176637)
Mills;2015;14882;(41.0334523, -95.6213267)
Grundy;2015;12406;(42.4018651, -92.7914177)
Winneshiek;2015;20732;(43.2906746, -91.8437074)
Emmet;2015;9672;(43.3780225, -94.6784803)
Woodbury;2015;102455;(42.3897169, -96.0447673)
Jefferson;2015;17927;(41.0317596, -91.9488774)
Marshall;2015;40346;(42.0358499, -92.9987706)
Dickinson;2015;16990;(43.3779848, -95.1508301)
Adair;2015;7141;(41.3307464, -94.4709413)
Black Hawk;2015;133435;(42.4700957, -92.3088197)
Clinton;2015;47545;(41.8980358, -90.5319724)
Lucas;2015;8599;(41.0293738, -93.3277207)
Pottawattamie;2015;93532;(41.3366123, -95.5423935)
Linn;2015;219971;(42.0789478, -91.5989646)
Keokuk;2015;10168;(41.336465, -92.1786426)
Cerro Gordo;2015;42923;(43.0815577, -93.2608184)
Jasper;2015;36729;(41.6860394, -93.053765)
Washington;2015;22128;(41.335591, -91.7178676)
Cass;2015;13349;(41.3314876, -94.9278266)
Des Moines;2015;39870;(40.9231829, -91.1814707)
Shelby;2015;11794;(41.6850926, -95.3102113)
Floyd;2015;15895;(43.0599208, -92.7890033)
Mahaska;2015;22308;(41.3352035, -92.6409094)
Louisa;2015;11256;(41.2185073, -91.2596184)
Fremont;2015;6913;(40.7455892, -95.6046765)
Poweshiek;2015;18381;(41.6864422, -92.5314684)
Madison;2015;15713;(41.3307142, -94.0155619)
Fayette;2015;20139;(42.8625919, -91.8443207)
Wright;2015;12840;(42.7331189, -93.7351465)
Dubuque;2015;96813;(42.468832, -90.8824564)
Henry;2015;19823;(40.9879383, -91.5445241)
Guthrie;2015;10644;(41.6837548, -94.501055)
Winnebago;2015;10578;(43.3775678, -93.7341955)
Union;2015;12425;(41.0277304, -94.2423792)
Crawford;2015;17031;(42.0372125, -95.3819678)
Warren;2015;48466;(41.3343735, -93.5613594)
