,Invoice/Item Number,Date,Store Number,Store Name,Address,City,Zip Code,Store Location,County Number,County,Category,Category Name,Vendor Number,Vendor Name,Item Number,Item Description,Pack,Bottle Volume (ml),State Bottle Cost,State Bottle Retail,Bottles Sold,Sale (Dollars),Volume Sold (Liters),Volume Sold (Gallons)
7574,S05010900011,04/11/2012,3644,Wal-Mart 2764 / Altoona,3501  8TH ST SW,ALTOONA,50009,"3501 8TH ST SW
ALTOONA 50009
(41.644195, -93.505276)",77.0,Polk,1011500.0,STRAIGHT RYE WHISKIES,260,Diageo Americas,27025,Bulleit 95 Rye,12,750,$14.84,$22.26,12,$267.12,9.0,2.38
7575,S11284800033,03/26/2013,2191,Keokuk Spirits,1013 MAIN,KEOKUK,52632,"1013 MAIN
KEOKUK 52632
(40.39978, -91.387531)",56.0,Lee,1062200.0,PUERTO RICO & VIRGIN ISLANDS RUM,35,"Bacardi U.S.A., Inc.",43128,Bacardi Superior Rum,6,1750,$12.67,$20.00,30,$600.00,52.5,13.87
7576,S13347200068,07/15/2013,2538,Hy-Vee Food Store #3 / Waterloo,1422 FLAMMANG DR,WATERLOO,50702,"1422 FLAMMANG DR
WATERLOO 50702
(42.459938, -92.327917)",7.0,Black Hawk,1071100.0,AMERICAN COCKTAILS,35,"Bacardi U.S.A., Inc.",56840,Bacardi Party Drinks Hurricane,6,1750,$6.98,$10.47,6,$62.82,10.5,2.77
7577,S07378900041,10/12/2012,2567,Hy-Vee Drugstore / Davenport,2200 WEST KIMBERLY,DAVENPORT,52806,"2200 WEST KIMBERLY
DAVENPORT 52806
(41.560151, -90.608199)",82.0,Scott,1062310.0,SPICED RUM,259,Heaven Hill Brands,43025,Admiral Nelson Spiced Rum Traveler,12,750,$5.77,$8.66,120,$1039.20,90.0,23.78
7578,S08214800003,10/09/2012,3816,Swils,200 E OAK ST,RED OAK,51566,"200 E OAK ST
RED OAK 51566
(41.016691, -95.230032)",69.0,Montgomery,1011100.0,BLENDED WHISKIES,260,Diageo Americas,25608,Seagrams 7 Crown Bl Whiskey,6,1750,$11.26,$16.90,6,$101.40,10.5,2.77
7579,S27829600021,09/10/2015,4648,Prime Mart / Broadway Waterloo,508 BROADWAY ST,WATERLOO,50703,"508 BROADWAY ST
WATERLOO 50703
(42.510573, -92.345104)",7.0,Black Hawk,1031100.0,100 PROOF VODKA,300,Mccormick Distilling Company,36886,Mccormick Vodka,12,750,$3.31,$4.97,12,$59.64,9.0,2.38
7580,S09574300004,12/19/2012,4080,Five Corners Liquor and Win,809 EAST 18 ST,CEDAR FALLS,50613,"809 EAST 18 ST
CEDAR FALLS 50613
(42.521427, -92.437189)",7.0,Black Hawk,1011100.0,BLENDED WHISKIES,297,Laird And Company,23826,Five Star,12,750,$3.46,$5.19,12,$62.28,9.0,2.38
7581,S05340200018,05/02/2012,4157,Fareway Stores #993 / North Liberty,615 WESTWOOD DR   P.O Box 96,NORTH LIBERTY,52317,"615 WESTWOOD DR P.O Box 96
NORTH LIBERTY 52317
(41.741097, -91.608385)",52.0,Johnson,1062200.0,PUERTO RICO & VIRGIN ISLANDS RUM,35,"Bacardi U.S.A., Inc.",43126,Bacardi Superior Rum,12,750,$7.53,$11.30,12,$135.60,9.0,2.38
7582,S12777900016,06/13/2013,2599,Hy-Vee Wine and Spirits / Coralville,1914 8TH STREET,CORALVILLE,52241,"1914 8TH STREET
CORALVILLE 52241
(41.682013, -91.590715)",52.0,Johnson,1071100.0,AMERICAN COCKTAILS,55,Sazerac North America,57148,Chi-Chi's Margarita W/tequila,6,1750,$5.99,$9.24,6,$55.44,10.5,2.77
7583,S07613100154,09/10/2012,2512,Hy-Vee Wine and Spirits / Iowa City,1720 WATERFRONT DR,IOWA CITY,52240,"1720 WATERFRONT DR
IOWA CITY 52240
(41.64277, -91.530467)",52.0,Johnson,1081600.0,WHISKEY LIQUEUR,421,"Sazerac Co., Inc.",64867,Fireball Cinnamon Whiskey,12,1000,$11.00,$16.50,12,$198.00,12.0,3.17
