,Invoice/Item Number,Date,Store Number,Store Name,Address,City,Zip Code,Store Location,County Number,County,Category,Category Name,Vendor Number,Vendor Name,Item Number,Item Description,Pack,Bottle Volume (ml),State Bottle Cost,State Bottle Retail,Bottles Sold,Sale (Dollars),Volume Sold (Liters),Volume Sold (Gallons)
0,S29198800001,11/20/2015,2191,Keokuk Spirits,1013 MAIN,KEOKUK,52632,"1013 MAIN
KEOKUK 52632
(40.39978, -91.387531)",56.0,Lee,,,255,Wilson Daniels Ltd.,297,Templeton Rye w/Flask,6,750,$18.09,$27.14,6,$162.84,4.5,1.19
1,S29195400002,11/21/2015,2205,Ding's Honk And Holler,900 E WASHINGTON,CLARINDA,51632,"900 E WASHINGTON
CLARINDA 51632
(40.739238, -95.02756)",73.0,Page,,,255,Wilson Daniels Ltd.,297,Templeton Rye w/Flask,6,750,$18.09,$27.14,12,$325.68,9.0,2.38
2,S29050300001,11/16/2015,3549,Quicker Liquor Store,1414 48TH ST,FORT MADISON,52627,"1414 48TH ST
FORT MADISON 52627
(40.624226, -91.373211)",56.0,Lee,,,130,Disaronno International LLC,249,Disaronno Amaretto Cavalli Mignon 3-50ml Pack,20,150,$6.40,$9.60,2,$19.20,0.3,0.08
3,S28867700001,11/04/2015,2513,Hy-Vee Food Store #2 / Iowa City,812  S 1ST AVE,IOWA CITY,52240,"812 S 1ST AVE
IOWA CITY 52240
",52.0,Johnson,,,65,Jim Beam Brands,237,Knob Creek w/ Crystal Decanter,3,1750,$35.55,$53.34,3,$160.02,5.25,1.39
4,S29050800001,11/17/2015,3942,Twin Town Liquor,104 HIGHWAY 30 WEST,TOLEDO,52342,"104 HIGHWAY 30 WEST
TOLEDO 52342
(41.985887, -92.579244)",86.0,Tama,,,130,Disaronno International LLC,249,Disaronno Amaretto Cavalli Mignon 3-50ml Pack,20,150,$6.40,$9.60,2,$19.20,0.3,0.08
5,S28869200001,11/11/2015,3650,"Spirits, Stogies and Stuff",118 South Main St.,HOLSTEIN,51025,"118 South Main St.
HOLSTEIN 51025
(42.490073, -95.544793)",47.0,Ida,,,65,Jim Beam Brands,237,Knob Creek w/ Crystal Decanter,3,1750,$35.55,$53.34,1,$53.34,1.75,0.46
6,S28865700001,11/09/2015,2538,Hy-Vee Food Store #3 / Waterloo,1422 FLAMMANG DR,WATERLOO,50702,"1422 FLAMMANG DR
WATERLOO 50702
(42.459938, -92.327917)",7.0,Black Hawk,1701100.0,DECANTERS & SPECIALTY PACKAGES,962,Duggan's Distillers Products Corp,238,Forbidden Secret Coffee Pack,6,1500,$11.62,$17.43,6,$104.58,9.0,2.38
7,S28869500001,11/10/2015,3942,Twin Town Liquor,104 HIGHWAY 30 WEST,TOLEDO,52342,"104 HIGHWAY 30 WEST
TOLEDO 52342
(41.985887, -92.579244)",86.0,Tama,,,65,Jim Beam Brands,237,Knob Creek w/ Crystal Decanter,3,1750,$35.55,$53.34,2,$106.68,3.5,0.92
8,S29339300091,11/30/2015,2662,Hy-Vee Wine & Spirits / Muscatine,"522 MULBERRY, SUITE A",MUSCATINE,52761,"522 MULBERRY, SUITE A
MUSCATINE 52761
",70.0,Muscatine,1701100.0,DECANTERS & SPECIALTY PACKAGES,65,Jim Beam Brands,173,Laphroaig w/ Whiskey Stones,12,750,$19.58,$29.37,4,$117.48,3.0,0.79
9,S29050900001,11/16/2015,4307,Crossroads Wine and Liquor,117 IOWA AVE,DUNLAP,712-2,"117 IOWA AVE
DUNLAP 712-2
(41.854728, -95.602969)",43.0,Harrison,,,130,Disaronno International LLC,249,Disaronno Amaretto Cavalli Mignon 3-50ml Pack,20,150,$6.40,$9.60,2,$19.20,0.3,0.08
10,S29049900001,11/17/2015,2661,Hy-Vee Food Store / Sheldon,1989 PARK ST,SHELDON,51201,"1989 PARK ST
SHELDON 51201
(43.186038, -95.831721)",71.0,O'Brien,,,130,Disaronno International LLC,249,Disaronno Amaretto Cavalli Mignon 3-50ml Pack,20,150,$6.40,$9.60,20,$192.00,3.0,0.79
11,S28868200001,11/05/2015,2561,Hy-Vee Food Store / Fleur / DSM,4605 FLEUR DRIVE,DES MOINES,50321,"4605 FLEUR DRIVE
DES MOINES 50321
(41.542816, -93.644943)",77.0,Polk,,,65,Jim Beam Brands,237,Knob Creek w/ Crystal Decanter,3,1750,$35.55,$53.34,2,$106.68,3.5,0.92
12,S28869600001,11/09/2015,4114,After 5 Somewhere,704 W 7TH ST PO BOX 372,ATLANTIC,50022,"704 W 7TH ST PO BOX 372
ATLANTIC 50022
(41.404062, -95.023116)",15.0,Cass,,,65,Jim Beam Brands,237,Knob Creek w/ Crystal Decanter,3,1750,$35.55,$53.34,3,$160.02,5.25,1.39
13,S28866900001,11/11/2015,3650,"Spirits, Stogies and Stuff",118 South Main St.,HOLSTEIN,51025,"118 South Main St.
HOLSTEIN 51025
(42.490073, -95.544793)",47.0,Ida,1701100.0,DECANTERS & SPECIALTY PACKAGES,962,Duggan's Distillers Products Corp,238,Forbidden Secret Coffee Pack,6,1500,$11.62,$17.43,1,$17.43,1.5,0.4
14,S29050100001,11/19/2015,2806,Osco #881 / Clinton,1307 N SECOND,CLINTON,52732,"1307 N SECOND
CLINTON 52732
(41.858483, -90.184946)",23.0,Clinton,,,130,Disaronno International LLC,249,Disaronno Amaretto Cavalli Mignon 3-50ml Pack,20,150,$6.40,$9.60,20,$192.00,3.0,0.79
15,S29049600001,11/17/2015,2624,Hy-Vee #2 / Dubuque,2395 NW ARTERIAL RD,DUBUQUE,52002,"2395 NW ARTERIAL RD
DUBUQUE 52002
(42.516621, -90.741064)",31.0,Dubuque,,,130,Disaronno International LLC,249,Disaronno Amaretto Cavalli Mignon 3-50ml Pack,20,150,$6.40,$9.60,20,$192.00,3.0,0.79
16,S28868400001,11/04/2015,2572,Hy-Vee Food Store / Cedar Falls,6301 UNIVERSITY,CEDAR FALLS,50613,"6301 UNIVERSITY
CEDAR FALLS 50613
(42.512771, -92.433344)",7.0,Black Hawk,,,65,Jim Beam Brands,237,Knob Creek w/ Crystal Decanter,3,1750,$35.55,$53.34,3,$160.02,5.25,1.39
17,S29196300002,11/24/2015,2595,Hy-Vee Wine and Spirits / Denison,"1620  4TH AVE, SOUTH",DENISON,51442,"1620 4TH AVE, SOUTH
DENISON 51442
(42.012395, -95.348616)",24.0,Crawford,,,255,Wilson Daniels Ltd.,297,Templeton Rye w/Flask,6,750,$18.09,$27.14,6,$162.84,4.5,1.19
18,S29134300126,11/18/2015,3723,J D Spirits Liquor,1023  9TH ST,ONAWA,51040,"1023 9TH ST
ONAWA 51040
(42.025841, -96.095845)",67.0,Monona,1081200.0,CREAM LIQUEURS,305,MHW Ltd,258,"Rumchata ""GoChatas""",1,6000,$99.00,$148.50,1,$148.50,6.0,1.59
19,S28869000001,11/10/2015,2665,Hy-Vee / Waukee,1005 E HICKMAN RD,WAUKEE,50263,"1005 E HICKMAN RD
WAUKEE 50263
(41.614909, -93.842181)",25.0,Dallas,,,65,Jim Beam Brands,237,Knob Creek w/ Crystal Decanter,3,1750,$35.55,$53.34,2,$106.68,3.5,0.92
20,S29198700002,11/24/2015,5093,Cody Mart,1220 N CODY RD,LE CLAIRE,52753,"1220 N CODY RD
LE CLAIRE 52753
(41.610504, -90.344168)",82.0,Scott,,,255,Wilson Daniels Ltd.,297,Templeton Rye w/Flask,6,750,$18.09,$27.14,3,$81.42,2.25,0.59
21,S29282800048,11/23/2015,2642,Hy-Vee Wine and Spirits / Pella,512 E OSKALOOSA,PELLA,50219,"512 E OSKALOOSA
PELLA 50219
(41.397023, -92.899722)",63.0,Marion,1701100.0,DECANTERS & SPECIALTY PACKAGES,962,Duggan's Distillers Products Corp,238,Forbidden Secret Coffee Pack,6,1500,$11.62,$17.43,6,$104.58,9.0,2.38
22,S28868000001,11/04/2015,2548,Hy-Vee Food Store / Altoona,100 8TH STREET SW,ALTOONA,50009,"100 8TH STREET SW
ALTOONA 50009
(41.644041, -93.465301)",77.0,Polk,,,65,Jim Beam Brands,237,Knob Creek w/ Crystal Decanter,3,1750,$35.55,$53.34,3,$160.02,5.25,1.39
23,S29199600001,11/20/2015,2558,Hy-Vee Food Store / Mount Pleasant,1700 E WASHINGTON,MOUNT PLEASANT,52641,"1700 E WASHINGTON
MOUNT PLEASANT 52641
(40.961243, -91.525484)",44.0,Henry,,,255,Wilson Daniels Ltd.,297,Templeton Rye w/Flask,6,750,$18.09,$27.14,18,$488.52,13.5,3.57
24,S29050500001,11/18/2015,3735,C B Liquor,1202 A AVE EAST,OSKALOOSA,52577,"1202 A AVE EAST
OSKALOOSA 52577
(41.296286, -92.631487)",10.0,Buchanan,,,130,Disaronno International LLC,249,Disaronno Amaretto Cavalli Mignon 3-50ml Pack,20,150,$6.40,$9.60,3,$28.80,0.45,0.12
25,S28867000001,11/04/2015,3842,Bancroft Liquor Store,107 N PORTLAND ST PO BX 222,BANCROFT,50517,"107 N PORTLAND ST PO BX 222
BANCROFT 50517
(43.29355, -94.218)",55.0,Kossuth,1701100.0,DECANTERS & SPECIALTY PACKAGES,962,Duggan's Distillers Products Corp,238,Forbidden Secret Coffee Pack,6,1500,$11.62,$17.43,3,$52.29,4.5,1.19
26,S28868600001,11/09/2015,2650,Hy-Vee Wine and Spirits / Harlan,1808 23RD ST,HARLAN,51537,"1808 23RD ST
HARLAN 51537
(41.650657, -95.339881)",83.0,Shelby,,,65,Jim Beam Brands,237,Knob Creek w/ Crystal Decanter,3,1750,$35.55,$53.34,3,$160.02,5.25,1.39
27,S28869100001,11/10/2015,2666,Hy-Vee #2 / Ankeny,2510 SW STATE ST,ANKENY,50023,"2510 SW STATE ST
ANKENY 50023
(41.704185, -93.621597)",77.0,Polk,,,65,Jim Beam Brands,237,Knob Creek w/ Crystal Decanter,3,1750,$35.55,$53.34,3,$160.02,5.25,1.39
28,S29197900002,11/23/2015,3842,Bancroft Liquor Store,107 N PORTLAND ST PO BX 222,BANCROFT,50517,"107 N PORTLAND ST PO BX 222
BANCROFT 50517
(43.29355, -94.218)",55.0,Kossuth,,,255,Wilson Daniels Ltd.,297,Templeton Rye w/Flask,6,750,$18.09,$27.14,18,$488.52,13.5,3.57
29,S28865800001,11/09/2015,2539,Hy-Vee Food Store / iowa Falls,HIGHWAY 65 SOUTH,IOWA FALLS,50126,"HIGHWAY 65 SOUTH
IOWA FALLS 50126
",42.0,Hardin,1701100.0,DECANTERS & SPECIALTY PACKAGES,962,Duggan's Distillers Products Corp,238,Forbidden Secret Coffee Pack,6,1500,$11.62,$17.43,6,$104.58,9.0,2.38
30,S28868700001,11/10/2015,2651,Hy-Vee / Waverly,1311 4 STREET SW,WAVERLY,50677,"1311 4 STREET SW
WAVERLY 50677
(42.713533, -92.475372)",9.0,Bremer,,,65,Jim Beam Brands,237,Knob Creek w/ Crystal Decanter,3,1750,$35.55,$53.34,2,$106.68,3.5,0.92
31,S29050000001,11/17/2015,2666,Hy-Vee #2 / Ankeny,2510 SW STATE ST,ANKENY,50023,"2510 SW STATE ST
ANKENY 50023
(41.704185, -93.621597)",77.0,Polk,,,130,Disaronno International LLC,249,Disaronno Amaretto Cavalli Mignon 3-50ml Pack,20,150,$6.40,$9.60,20,$192.00,3.0,0.79
32,S29198100002,11/23/2015,4162,Fareway Stores #963 / Cedar Rapids,4220  16TH AVE SW,CEDAR RAPIDS,52404,"4220 16TH AVE SW
CEDAR RAPIDS 52404
(41.963791, -91.726725)",57.0,Linn,,,255,Wilson Daniels Ltd.,297,Templeton Rye w/Flask,6,750,$18.09,$27.14,6,$162.84,4.5,1.19
33,S29195800002,11/21/2015,2552,Hy-Vee Food Store #3 / Cedar Rapids,20 WILSON AVENUE WEST,CEDAR RAPIDS,52404,"20 WILSON AVENUE WEST
CEDAR RAPIDS 52404
(41.955861, -91.658753)",57.0,Linn,,,255,Wilson Daniels Ltd.,297,Templeton Rye w/Flask,6,750,$18.09,$27.14,90,$2442.60,67.5,17.83
34,S29197800002,11/23/2015,3650,"Spirits, Stogies and Stuff",118 South Main St.,HOLSTEIN,51025,"118 South Main St.
HOLSTEIN 51025
(42.490073, -95.544793)",47.0,Ida,,,255,Wilson Daniels Ltd.,297,Templeton Rye w/Flask,6,750,$18.09,$27.14,18,$488.52,13.5,3.57
35,S29049100001,11/16/2015,2538,Hy-Vee Food Store #3 / Waterloo,1422 FLAMMANG DR,WATERLOO,50702,"1422 FLAMMANG DR
WATERLOO 50702
(42.459938, -92.327917)",7.0,Black Hawk,,,130,Disaronno International LLC,249,Disaronno Amaretto Cavalli Mignon 3-50ml Pack,20,150,$6.40,$9.60,40,$384.00,6.0,1.59
36,S29049500001,11/18/2015,2594,Hy-Vee Food Store / Sioux City,4500 SERGEANT ROAD,SIOUX CITY,51106,"4500 SERGEANT ROAD
SIOUX CITY 51106
(42.448057, -96.350374)",97.0,Woodbury,,,130,Disaronno International LLC,249,Disaronno Amaretto Cavalli Mignon 3-50ml Pack,20,150,$6.40,$9.60,20,$192.00,3.0,0.79
37,S29051000001,11/19/2015,4988,Happy's Wine & Spirits,5925 UNIVERSITY AVE,CEDAR FALLS,50613,"5925 UNIVERSITY AVE
CEDAR FALLS 50613
(42.512766, -92.429371)",7.0,Black Hawk,,,130,Disaronno International LLC,249,Disaronno Amaretto Cavalli Mignon 3-50ml Pack,20,150,$6.40,$9.60,20,$192.00,3.0,0.79
38,S28867100001,11/09/2015,4604,Pit Stop Liquors / Newton,"1324, 1st AVE E",NEWTON,50208,"1324, 1st AVE E
NEWTON 50208
(41.699173, -93.035654)",50.0,Jasper,1701100.0,DECANTERS & SPECIALTY PACKAGES,962,Duggan's Distillers Products Corp,238,Forbidden Secret Coffee Pack,6,1500,$11.62,$17.43,2,$34.86,3.0,0.79
39,S29049800001,11/16/2015,2643,Hy-Vee Wine and Spirits / Waterloo,2126 KIMBALL AVE,WATERLOO,50701,"2126 KIMBALL AVE
WATERLOO 50701
",7.0,Black Hawk,,,130,Disaronno International LLC,249,Disaronno Amaretto Cavalli Mignon 3-50ml Pack,20,150,$6.40,$9.60,20,$192.00,3.0,0.79
40,S29049200001,11/17/2015,2544,Hy-Vee Food Store / Marshalltown,802 SOUTH CENTER,MARSHALLTOWN,50158,"802 SOUTH CENTER
MARSHALLTOWN 50158
(42.034788, -92.899809)",64.0,Marshall,,,130,Disaronno International LLC,249,Disaronno Amaretto Cavalli Mignon 3-50ml Pack,20,150,$6.40,$9.60,20,$192.00,3.0,0.79
41,S29196500002,11/21/2015,2607,Hy-Vee Wine and Spirits / Shenandoah,520 SO FREMONT,SHENANDOAH,51601,"520 SO FREMONT
SHENANDOAH 51601
",73.0,Page,,,255,Wilson Daniels Ltd.,297,Templeton Rye w/Flask,6,750,$18.09,$27.14,30,$814.20,22.5,5.94
42,S29191200001,11/19/2015,2248,Ingersoll Liquor and Beverage,3500 INGERSOLL AVE,DES MOINES,50312,"3500 INGERSOLL AVE
DES MOINES 50312
(41.586319, -93.664182)",77.0,Polk,1701100.0,DECANTERS & SPECIALTY PACKAGES,65,Jim Beam Brands,173,Laphroaig w/ Whiskey Stones,12,750,$19.58,$29.37,36,$1057.32,27.0,7.13
43,S29050600001,11/17/2015,3813,CGI Foods,104 NORTH FILLMORE,MOUNT AYR,50854,"104 NORTH FILLMORE
MOUNT AYR 50854
(40.714825, -94.238806)",80.0,Ringgold,,,130,Disaronno International LLC,249,Disaronno Amaretto Cavalli Mignon 3-50ml Pack,20,150,$6.40,$9.60,6,$57.60,0.9,0.24
44,S29199300001,11/20/2015,2539,Hy-Vee Food Store / iowa Falls,HIGHWAY 65 SOUTH,IOWA FALLS,50126,"HIGHWAY 65 SOUTH
IOWA FALLS 50126
",42.0,Hardin,,,255,Wilson Daniels Ltd.,297,Templeton Rye w/Flask,6,750,$18.09,$27.14,12,$325.68,9.0,2.38
45,S29197300002,11/21/2015,3443,Super Saver Iv,1141 N BROADWAY,COUNCIL BLUFFS,51503,"1141 N BROADWAY
COUNCIL BLUFFS 51503
(41.270824, -95.836515)",78.0,Pottawattamie,,,255,Wilson Daniels Ltd.,297,Templeton Rye w/Flask,6,750,$18.09,$27.14,6,$162.84,4.5,1.19
46,S28868900001,11/10/2015,2661,Hy-Vee Food Store / Sheldon,1989 PARK ST,SHELDON,51201,"1989 PARK ST
SHELDON 51201
(43.186038, -95.831721)",71.0,O'Brien,,,65,Jim Beam Brands,237,Knob Creek w/ Crystal Decanter,3,1750,$35.55,$53.34,3,$160.02,5.25,1.39
47,S29197500002,11/20/2015,3525,Wines and Spirits,106 W 2ND ST,WASHINGTON,52353,"106 W 2ND ST
WASHINGTON 52353
(41.300399, -91.692213)",92.0,Washington,,,255,Wilson Daniels Ltd.,297,Templeton Rye w/Flask,6,750,$18.09,$27.14,6,$162.84,4.5,1.19
48,S29049300001,11/19/2015,2567,Hy-Vee Drugstore / Davenport,2200 WEST KIMBERLY,DAVENPORT,52806,"2200 WEST KIMBERLY
DAVENPORT 52806
(41.560151, -90.608199)",82.0,Scott,,,130,Disaronno International LLC,249,Disaronno Amaretto Cavalli Mignon 3-50ml Pack,20,150,$6.40,$9.60,6,$57.60,0.9,0.24
49,S29196200002,11/20/2015,2591,Hy-Vee Wine and Spirits / Atlantic,1602 E. 7TH ST.,ATLANTIC,50022,"1602 E. 7TH ST.
ATLANTIC 50022
(41.403856, -94.990031)",15.0,Cass,,,255,Wilson Daniels Ltd.,297,Templeton Rye w/Flask,6,750,$18.09,$27.14,24,$651.36,18.0,4.76
50,S29137200001,11/18/2015,2566,Hy-Vee Food Store / Knoxville,813 N LINCOLN STE 1,KNOXVILLE,50138,"813 N LINCOLN STE 1
KNOXVILLE 50138
(41.325428, -93.109494)",63.0,Marion,1701100.0,DECANTERS & SPECIALTY PACKAGES,962,Duggan's Distillers Products Corp,238,Forbidden Secret Coffee Pack,6,1500,$11.62,$17.43,12,$209.16,18.0,4.76
51,S29199400001,11/21/2015,2544,Hy-Vee Food Store / Marshalltown,802 SOUTH CENTER,MARSHALLTOWN,50158,"802 SOUTH CENTER
MARSHALLTOWN 50158
(42.034788, -92.899809)",64.0,Marshall,,,255,Wilson Daniels Ltd.,297,Templeton Rye w/Flask,6,750,$18.09,$27.14,6,$162.84,4.5,1.19
52,S29161800004,11/18/2015,2622,Hy-Vee Food Store / Iowa City,1125 N DODGE ST,IOWA CITY,52240,"1125 N DODGE ST
IOWA CITY 52240
(41.676203, -91.518536)",52.0,Johnson,1081200.0,CREAM LIQUEURS,305,MHW Ltd,258,"Rumchata ""GoChatas""",1,6000,$99.00,$148.50,1,$148.50,6.0,1.59
53,S29082800001,11/16/2015,2573,Hy-Vee Food Store / Muscatine,2400 2ND AVE,MUSCATINE,52761,"2400 2ND AVE
MUSCATINE 52761
(41.45135, -91.035137)",70.0,Muscatine,1081200.0,CREAM LIQUEURS,305,MHW Ltd,258,"Rumchata ""GoChatas""",1,6000,$99.00,$148.50,1,$148.50,6.0,1.59
54,S29198200002,11/21/2015,4311,Fareway Stores #508 / Fort Dodge,1231  1ST AVE S,FORT DODGE,50501,"1231 1ST AVE S
FORT DODGE 50501
(42.505112, -94.181826)",94.0,Webster,,,255,Wilson Daniels Ltd.,297,Templeton Rye w/Flask,6,750,$18.09,$27.14,2,$54.28,1.5,0.4
55,S28869900001,11/09/2015,5001,The Music Station / Independence,709 FIRST ST W,INDEPENDENCE,50644,"709 FIRST ST W
INDEPENDENCE 50644
(42.468636, -91.901538)",10.0,Buchanan,,,65,Jim Beam Brands,237,Knob Creek w/ Crystal Decanter,3,1750,$35.55,$53.34,3,$160.02,5.25,1.39
56,S29331500076,11/30/2015,4152,Food Land Super Markets / Missouri V,407 W HURON,MISSOURI VALLEY,51555,"407 W HURON
MISSOURI VALLEY 51555
(41.557404, -95.899334)",43.0,Harrison,1701100.0,DECANTERS & SPECIALTY PACKAGES,65,Jim Beam Brands,173,Laphroaig w/ Whiskey Stones,12,750,$19.58,$29.37,1,$29.37,0.75,0.2
57,S28868500001,11/12/2015,2627,Hy-Vee Wine and Spirits #1,3424 MARTIN LUTHER KING JR PKW,DES MOINES,50310,"3424 MARTIN LUTHER KING JR PKW
DES MOINES 50310
(41.626402, -93.651112)",77.0,Polk,,,65,Jim Beam Brands,237,Knob Creek w/ Crystal Decanter,3,1750,$35.55,$53.34,2,$106.68,3.5,0.92
58,S28867900001,11/09/2015,2538,Hy-Vee Food Store #3 / Waterloo,1422 FLAMMANG DR,WATERLOO,50702,"1422 FLAMMANG DR
WATERLOO 50702
(42.459938, -92.327917)",7.0,Black Hawk,,,65,Jim Beam Brands,237,Knob Creek w/ Crystal Decanter,3,1750,$35.55,$53.34,3,$160.02,5.25,1.39
59,S29198900001,11/21/2015,2353,Cresco Liquor Store,708 2ND AVE SE,CRESCO,52136,"708 2ND AVE SE
CRESCO 52136
(43.371131, -92.106504)",45.0,Howard,,,255,Wilson Daniels Ltd.,297,Templeton Rye w/Flask,6,750,$18.09,$27.14,24,$651.36,18.0,4.76
60,S29198000002,11/21/2015,3942,Twin Town Liquor,104 HIGHWAY 30 WEST,TOLEDO,52342,"104 HIGHWAY 30 WEST
TOLEDO 52342
(41.985887, -92.579244)",86.0,Tama,,,255,Wilson Daniels Ltd.,297,Templeton Rye w/Flask,6,750,$18.09,$27.14,6,$162.84,4.5,1.19
61,S28869400001,11/04/2015,3842,Bancroft Liquor Store,107 N PORTLAND ST PO BX 222,BANCROFT,50517,"107 N PORTLAND ST PO BX 222
BANCROFT 50517
(43.29355, -94.218)",55.0,Kossuth,,,65,Jim Beam Brands,237,Knob Creek w/ Crystal Decanter,3,1750,$35.55,$53.34,3,$160.02,5.25,1.39
62,S29216200002,11/20/2015,2573,Hy-Vee Food Store / Muscatine,2400 2ND AVE,MUSCATINE,52761,"2400 2ND AVE
MUSCATINE 52761
(41.45135, -91.035137)",70.0,Muscatine,1081200.0,CREAM LIQUEURS,305,MHW Ltd,258,"Rumchata ""GoChatas""",1,6000,$99.00,$148.50,2,$297.00,12.0,3.17
63,S29196900002,11/20/2015,2648,Hy-Vee #4 / WDM,555 S 51ST ST,WEST DES MOINES,50265,"555 S 51ST ST
WEST DES MOINES 50265
(41.561219, -93.773583)",77.0,Polk,,,255,Wilson Daniels Ltd.,297,Templeton Rye w/Flask,6,750,$18.09,$27.14,48,$1302.72,36.0,9.51
64,S28869800001,11/11/2015,4947,The Music Station,1420 W FIRST ST,CEDAR FALLS,50647,"1420 W FIRST ST
CEDAR FALLS 50647
(42.53783, -92.462227)",7.0,Black Hawk,,,65,Jim Beam Brands,237,Knob Creek w/ Crystal Decanter,3,1750,$35.55,$53.34,3,$160.02,5.25,1.39
65,S29199500001,11/20/2015,2555,Hy-Vee Food Store / Keokuk,3111 MAIN,KEOKUK,52632,"3111 MAIN
KEOKUK 52632
(40.414975, -91.403338)",56.0,Lee,,,255,Wilson Daniels Ltd.,297,Templeton Rye w/Flask,6,750,$18.09,$27.14,6,$162.84,4.5,1.19
66,S28867400001,11/10/2015,2205,Ding's Honk And Holler,900 E WASHINGTON,CLARINDA,51632,"900 E WASHINGTON
CLARINDA 51632
(40.739238, -95.02756)",73.0,Page,,,65,Jim Beam Brands,237,Knob Creek w/ Crystal Decanter,3,1750,$35.55,$53.34,1,$53.34,1.75,0.46
67,S29199200001,11/20/2015,2521,Hy-Vee Food and Drug / Grand / WDM,1990 GRAND AVENUE,WEST DES MOINES,50265,"1990 GRAND AVENUE
WEST DES MOINES 50265
(41.571127, -93.73162)",77.0,Polk,,,255,Wilson Daniels Ltd.,297,Templeton Rye w/Flask,6,750,$18.09,$27.14,24,$651.36,18.0,4.76
68,S29195900002,11/21/2015,2556,Hy-Vee Wine and Spirits / Esthervill,2608 E. CENTRAL AVENUE,ESTHERVILLE,51334,"2608 E. CENTRAL AVENUE
ESTHERVILLE 51334
",32.0,Emmet,,,255,Wilson Daniels Ltd.,297,Templeton Rye w/Flask,6,750,$18.09,$27.14,12,$325.68,9.0,2.38
69,S28867200001,11/05/2015,4881,Sperry One Stop Shop LLC,516 HWY 141,COON RAPIDS,50058,"516 HWY 141
COON RAPIDS 50058
",14.0,Carroll,1701100.0,DECANTERS & SPECIALTY PACKAGES,962,Duggan's Distillers Products Corp,238,Forbidden Secret Coffee Pack,6,1500,$11.62,$17.43,1,$17.43,1.5,0.4
70,S29049000001,11/17/2015,2205,Ding's Honk And Holler,900 E WASHINGTON,CLARINDA,51632,"900 E WASHINGTON
CLARINDA 51632
(40.739238, -95.02756)",73.0,Page,,,130,Disaronno International LLC,249,Disaronno Amaretto Cavalli Mignon 3-50ml Pack,20,150,$6.40,$9.60,6,$57.60,0.9,0.24
71,S29176100012,11/19/2015,2548,Hy-Vee Food Store / Altoona,100 8TH STREET SW,ALTOONA,50009,"100 8TH STREET SW
ALTOONA 50009
(41.644041, -93.465301)",77.0,Polk,,,65,Jim Beam Brands,237,Knob Creek w/ Crystal Decanter,3,1750,$35.55,$53.34,3,$160.02,5.25,1.39
72,S29199000001,11/23/2015,2501,Hy-vee  #2 / Ames,640 LINCOLNWAY,AMES,50010,"640 LINCOLNWAY
AMES 50010
(42.022848, -93.619455)",85.0,Story,,,255,Wilson Daniels Ltd.,297,Templeton Rye w/Flask,6,750,$18.09,$27.14,24,$651.36,18.0,4.76
73,S29049400001,11/18/2015,2572,Hy-Vee Food Store / Cedar Falls,6301 UNIVERSITY,CEDAR FALLS,50613,"6301 UNIVERSITY
CEDAR FALLS 50613
(42.512771, -92.433344)",7.0,Black Hawk,,,130,Disaronno International LLC,249,Disaronno Amaretto Cavalli Mignon 3-50ml Pack,20,150,$6.40,$9.60,20,$192.00,3.0,0.79
74,S29197600002,11/20/2015,3549,Quicker Liquor Store,1414 48TH ST,FORT MADISON,52627,"1414 48TH ST
FORT MADISON 52627
(40.624226, -91.373211)",56.0,Lee,,,255,Wilson Daniels Ltd.,297,Templeton Rye w/Flask,6,750,$18.09,$27.14,12,$325.68,9.0,2.38
75,S28868300001,11/05/2015,2571,Hy-Vee Food Store #2 / Waterloo,2181 LOGAN AVE,WATERLOO,50703,"2181 LOGAN AVE
WATERLOO 50703
(42.530476, -92.337583)",7.0,Black Hawk,,,65,Jim Beam Brands,237,Knob Creek w/ Crystal Decanter,3,1750,$35.55,$53.34,2,$106.68,3.5,0.92
76,S29048900001,11/16/2015,2191,Keokuk Spirits,1013 MAIN,KEOKUK,52632,"1013 MAIN
KEOKUK 52632
(40.39978, -91.387531)",56.0,Lee,,,130,Disaronno International LLC,249,Disaronno Amaretto Cavalli Mignon 3-50ml Pack,20,150,$6.40,$9.60,1,$9.60,0.15,0.04
77,S28867800001,11/04/2015,2536,HY-VEE / PLEASANT HILL,4815 MAPLE DRIVE,PLEASANT HILL,50317,"4815 MAPLE DRIVE
PLEASANT HILL 50317
",77.0,Polk,,,65,Jim Beam Brands,237,Knob Creek w/ Crystal Decanter,3,1750,$35.55,$53.34,2,$106.68,3.5,0.92
78,S29195700002,11/20/2015,2538,Hy-Vee Food Store #3 / Waterloo,1422 FLAMMANG DR,WATERLOO,50702,"1422 FLAMMANG DR
WATERLOO 50702
(42.459938, -92.327917)",7.0,Black Hawk,,,255,Wilson Daniels Ltd.,297,Templeton Rye w/Flask,6,750,$18.09,$27.14,24,$651.36,18.0,4.76
79,S28868800001,11/09/2015,2653,Hy-Vee Wine and Spirits / Washington,1004 W MADISON ST,WASHINGTON,52353,"1004 W MADISON ST
WASHINGTON 52353
(41.296576, -91.704551)",92.0,Washington,,,65,Jim Beam Brands,237,Knob Creek w/ Crystal Decanter,3,1750,$35.55,$53.34,3,$160.02,5.25,1.39
